text,label,all_labels
RT @namn: Har skötsamma och extremt lugna kompisar som jag skulle vilja se supa sig dyngraka 😂,pos,"neu,pos,neg,pos,N/A"
RT @namn: @namn på scen som gammal? 😂😎 http://t.co/wrtpskNjXv,pos,"neu,pos,pos,pos,neu"
❤❤ lyssna om ni vill på min förlossningsvideo. Ultraljudet missade min dotters hand ❤❤ 😢😢 Alla föds olika 🙏🏻🙏🏻 IN OCH LYSSNA,neg,"pos,neg,neu,neg,N/A"
"RT @namn: ✊ F! 6,1% i STHLM kommun http://t.co/iN8WtTXrON och 3,79% Nationellt http://t.co/0OOYVPouGX Kämpa! #taplats @namn #…",neu,"neu,N/A,neu,N/A,neu"
@namn Woohoo! Snart så! 😁 Vad blir det? 😊,pos,"pos,neu,pos,pos,neu"
Vila i frid John ❤️,pos,"pos,neu,neu,pos,pos"
Meddelas nu att mina exceptionella skills på fotbollsplan kommer inte att va tillgängliga på BF Cupen.  Sorry @namn o @namn 😉,neu,"neu,N/A,neu,neu,N/A"
"Men hallå, vad är en springis? Haha 😂 har letat ihjäl mig men hittar ingen som skrivit det",neu,"neu,pos,N/A,neu,neu"
"@namn @namn 
👻 #F!fan vad #feminismens avarter kan komma fram till, el är det #kärntruppen? Var kvinnlig rösträtt ett misstag 👯",neg,"pos,neg,neu,neg"
Team Jonna... Lätt😂,pos,"pos,pos,neu,neu,pos"
Vila i frid 😢😢,neg,"neu,neg,neg,N/A"
Vi ska dit om typ en månad 😳,neu,"neu,N/A,neu,neg"
han blev fin men det såg faktist ut som att han tappade lite hår😀😊,pos,"neu,pos,N/A,pos"
"Så sorgligt. :( 
Blev rörd bara av att ni pratade om det i er podcast och nu denna video🥺
Bra att folk visar respekt.",neg,"neg,neg,neu,pos"
Min gammel mormor var skyddad av soldater i Tyskland 🇩🇪😥😥,neg,"neu,N/A,neg,neg"
@namn @namn 🙈🙉🙊 Keep dreaming Gårdagens utfrågning visade på genant okunnighet äv utan Jimmyfrågor: Hur kom du fram till de,neg,"neg,N/A,neu,neg"
#teamjookiboi#😀😃😄😂,pos,"pos,neu,pos,N/A"
Har hört om detta på P3Dokumentär❤️😭Usch så hemskt!;(😭❤️,neu,"neu,N/A,neu,neg"
@namn ...och Tottenham symboliserar Israels ockupation av Palestina. Skäms! 😘,neg,"neg,neu,neg,N/A"
"@namn @namn miljövänlig ""svamp"" ger många riktigt kriminella ""jobb"" GRATTIS Regeringen, bunkra upp medan ni kan, NYVAL runt hörnet👻",neg,"neg,neg,pos,neu"
Jag tror Bianca menade precis det hon sa 😅,neu,"neu,neg,pos,neu"
"@namn nej, är hon sjuk. 😔 Krya!",neg,"neg,neg,N/A,neg"
"4.50 bråkar sen står det "" a true live story Never ends"" 😂😂",pos,"N/A,pos,pos,neg"
@namn och jag som jobbar på taxi stockholm i växeln 😂😂,pos,"N/A,pos,neu,pos"
@namn :( Hjärtat ♥,pos,"pos,neg,pos,neu"
Tillväxt♥Miljö-nyheter: Klimatmöte i Köpenhamn av stapeln; nya EU-mål; regeringens miljösatsning dammig - http://t.co/WOou6oJ3SJ,neu,"N/A,neu,neu,pos"
Åh jag älskar verkligen kristaller. Har i alla rum. Min favorit är ametist 😍,pos,"pos,pos,pos,pos"
Det var äckligt och roligt när Jocke doppade huvudet i toan😊,pos,"pos,neg,neu,pos"
Älskar era videos sluta aldrig med det ni gör!!❤😁,pos,"pos,pos,pos,pos"
28:57 hahaha 🤣,pos,"pos,pos,pos,N/A"
tönt och ginger gör duckface😎 http://t.co/NzLDxud1y7,neu,"N/A,neu,pos,neu"
"""Riktiga män sköljer håret i toastolen!"" 😂😂😂😂😂😂😂😂😂 
/Astrid",pos,"N/A,neg,pos,pos"
Organisation?🤣 organisering heter det väl ändå?😂,neg,"neg,pos,neu,neg"
@namn den funkar inte riktigt lika bra på engelska... 😊  @namn,neg,"neu,neg,neg,pos"
"@namn I know😉
Men seriöst, helt fullt.",neu,"neg,pos,neu,neu"
"Alltså vad fan tittar den andra killen på när han pratar med Emelie, tittar upp i taket liksom… 🤔😂",neg,"N/A,neg,pos,neg"
"4:47 
När man tror att allt ska gå bra i livet men så bara nej….😂😂😂1",pos,"pos,N/A,pos,neu"
"Inga båtar, knappt med löv, mörker...det är höst! 🍁🍂 http://t.co/S0seIiWHYT",neu,"N/A,neu,neu,pos"
@namn rena rama festen här. 🚨🚨🚨🚨🚨🚨🚨🚨👑👑👑👑🔔🔔🔔🔔📣🎊🎉🎊🎉🎊🎉🎊🎉🎉🎉🎉,pos,"N/A,neu,pos,pos"
Han hade fyllt 40 nu om han va vid liv🥺 Vila i frid Jonne🙏🏼🤘🏼,neg,"neu,neg,neg,pos"
Som Konstnärsfamilj har jag alltid velat ge utrymme. Så här började det en gång😃#mamager  BBx8 Full version http://t.co/CWPAHXooqG,neu,"N/A,pos,neu,neu"
Asså jag tycker de va lite för grovt👎💕 Men de va ju kul👌,neu,"neu,neg,N/A,neu"
2:21 har dem huggit av Doris huvud🥲,neg,"neu,neg,N/A,neg"
